Venue,Category,Area,Listing URL (their free page),Their website,Phone,Emailed? (Y/N),Replied? (Y/N),Linked back? (Y/N),Notes / corrections
CrossFit Pattaya @ The Jungle Gym,CrossFit / Functional,Nong Prue / Central-East Pattaya,https://pattaya-gym.com/gyms/crossfit-pattaya/,https://www.junglegympattaya.com/,+66 84 818 3994,,,,
Dive Station Pattaya,Watersports / Diving,Pattaya — boat departures from Bali Hai Pier,https://pattaya-gym.com/gyms/dive-station-pattaya/,https://divestationpattaya.com/,,,,,
Dragon Shooting Club Pattaya,Adventure / Multi-Sport,Pattaya — confirm exact at booking,https://pattaya-gym.com/gyms/dragon-shooting-club/,https://www.dragonshootingclub.com/,,,,,
Dusit Thani Pattaya — Devarana Wellness,Fitness / Gym,North Pattaya / Beach Road headland,https://pattaya-gym.com/gyms/dusit-thani-pattaya/,https://www.dusit.com/dusitthani-pattaya/,,,,,
EasyKart Pattaya Thepprasit (Outdoor Go Kart Track),Adventure / Multi-Sport,Thepprasit Road,https://pattaya-gym.com/gyms/easykart-pattaya/,https://easykart.net/pattaya-easykart-book-now/,+66 91 038 6111,,,,
Elite Gym & Fitness Pattaya,Fitness / Gym,"Sukhumvit Road (between Soi 42 and 44, opposite Soi 65)",https://pattaya-gym.com/gyms/elite-gym-fitness/,https://elitegympattaya.com/,+66 98 1919 421,,,,
Fairtex Training Center Pattaya,Muay Thai,Naklua / North Pattaya,https://pattaya-gym.com/gyms/fairtex-pattaya/,https://fairtextrainingcenter.com/,+66 86 308 7031,,,,
FAST PRO Football Academy Pattaya,Kids / Youth Sports,Two locations — Horseshoe Point Pattaya + IP Soccer Club Pattaya,https://pattaya-gym.com/gyms/fast-pro-football-academy/,https://www.fastprofootball.com/,,,,,
Fight EVO360 Muay Thai Gym,Muay Thai,Thepprasit Road / Jomtien,https://pattaya-gym.com/gyms/fight-evo360/,https://www.fightevo360.com/,,,,,
First Serve Sports Club,Swimming,Pattaya,https://pattaya-gym.com/gyms/first-serve-sports-club/,https://www.firstservesportsclub.com/,,,,,
Fitness 7 Pattaya (The Avenue),Fitness / Gym,The Avenue Pattaya / Central Pattaya (parallel to Beach Road),https://pattaya-gym.com/gyms/fitness-7/,https://fitness7thailand.com/,,,,,
"Fitz Club — Racquets, Health & Fitness (Royal Cliff Hotels Group)",Fitness / Gym,Pratumnak Hill,https://pattaya-gym.com/gyms/fitz-club/,https://www.royalcliff.com/facilities/fitz-club/,+66 38 250 421 ext. 2621,,,,
Flight of the Gibbon — Khao Kheow Canopy Zipline,Adventure / Multi-Sport,"Khao Kheow / Si Racha (1 hour from Pattaya, 90 min from Bangkok)",https://pattaya-gym.com/gyms/flight-of-the-gibbon/,https://flightofthegibbon.com/,,,,,
Golf Hub Pattaya (Indoor Simulator + Club Fitting),Golf,Soi Buakhao + East Pattaya (multiple locations),https://pattaya-gym.com/gyms/golf-hub-pattaya/,https://www.golfhubpattaya.com/,,,,,
Greenwood Golf Club & Resort (formerly Noble Place),Golf,"Ban Bueng, Chonburi (1 hour from Pattaya, toward Chonburi)",https://pattaya-gym.com/gyms/greenwood-golf-club/,https://www.gwgolfclub.com/,,,,,
Greta Sport Club Pattaya (at Greta Resort),Tennis / Padel / Squash,Na Jomtien / Sattahip (18 km south of central Pattaya / Walking Street),https://pattaya-gym.com/gyms/greta-sport-club/,https://www.gretafarm.com/en/tennis/,,,,,
Hard Rock Pool Pattaya,Swimming,Hard Rock Hotel Pattaya — Central Pattaya Beach Road,https://pattaya-gym.com/gyms/hard-rock-pool/,https://hotel.hardrock.com/pattaya/swimming-pool.aspx,,,,,
"Hilton Pattaya — Fitness Center, Spa & Pool",Fitness / Gym,Central Pattaya — Beach Road / Central Festival Mall,https://pattaya-gym.com/gyms/hilton-pattaya-fitness/,https://www.hilton.com/en/hotels/bkkhphi-hilton-pattaya/,,,,,
Holiday Inn Pattaya,Fitness / Gym,Beach Road / Central Pattaya,https://pattaya-gym.com/gyms/holiday-inn-pattaya/,https://pattaya.holidayinn.com/,+66 38 725 555,,,,
InterContinental Pattaya Resort,Fitness / Gym,Pratamnak Hill,https://pattaya-gym.com/gyms/intercontinental-pattaya/,https://pattaya.intercontinental.com/,,,,,
Jetts Fitness Pattaya,Fitness / Gym,Little Walk Mall (Sukhumvit / Pattaya Klang),https://pattaya-gym.com/gyms/jetts-fitness-pattaya/,https://www.jetts.co.th/en/,,,,,
Jomtien Dive Center,Watersports / Diving,Jomtien Beach,https://pattaya-gym.com/gyms/jomtien-dive-center/,https://jomtiendivecenter.com/,+66 33 144 007,,,,
KBA Kiteboarding Asia Pattaya (Blue Lagoon),Watersports / Diving,Na Jomtien / Sattahip — Blue Lagoon,https://pattaya-gym.com/gyms/kba-kiteboarding-pattaya/,https://kiteboardingasia.com/pattaya/,+66 85 134 9588,,,,
Khao Kheow Country Club,Golf,Bang Phra / Si Racha (between Bangkok and Pattaya),https://pattaya-gym.com/gyms/khao-kheow-country-club/,https://www.khaokheowgolf.com/,+66 38 318 000,,,,
Kombat Group Thailand,Muay Thai,"Huai Yai / East Pattaya (rural, near Chak Nok Lake)",https://pattaya-gym.com/gyms/kombat-group-thailand/,https://www.kombatgroup.com/,+66 81 099 9333,,,,
Laem Chabang International Country Club,Golf,Sriracha (30 min from Pattaya),https://pattaya-gym.com/gyms/laem-chabang-international/,https://www.laemchabanggolf.com/,+66 82 222 3031,,,,
Lumpinee Boxing Stadium (Bangkok day-trip),Muay Thai,Bangkok — Ramintra Road (1.5–2 hrs from Pattaya),https://pattaya-gym.com/gyms/lumpinee-boxing-stadium/,https://lumpineestadium.com/,+66 80 045 9541,,,,
Manhattan Pattaya (Hotel Gym),Fitness / Gym,Pratamnak / Central Pattaya,https://pattaya-gym.com/gyms/manhattan-pattaya-fitness/,https://manhattanpattaya.com/facilities/gym/,,,,,
Manta Kids Pattaya (IG Center),Swimming,Huayyai / East Pattaya,https://pattaya-gym.com/gyms/manta-kids-pattaya/,https://www.igcenter-pattaya.com/en/manta-kids-pattaya-en/,,,,,
MAX Muay Thai Stadium Pattaya,Muay Thai,Sukhumvit Road — next to King Power Pattaya,https://pattaya-gym.com/gyms/max-muay-thai-stadium/,https://www.muaythaistadium.com/max-pattaya,+66 80 471 6008,,,,
Mermaid's Dive Center,Watersports / Diving,Jomtien (Soi White House) + Pattaya Beach Road + Bangkok (Amarin Plaza),https://pattaya-gym.com/gyms/mermaids-dive/,https://www.mermaidsdivecenter.com/,+66 38 303 333,,,,
Mövenpick Siam Hotel Na Jomtien Pattaya,Fitness / Gym,Na Jomtien,https://pattaya-gym.com/gyms/movenpick-siam-pattaya/,https://www.movenpickpattayanajomtien.com/,,,,,
Muscle Factory Pattaya,Fitness / Gym,Pratamnak Hill,https://pattaya-gym.com/gyms/muscle-factory-pattaya/,https://mfbkk.com/,+66 83 695 9196,,,,
No Limit Divers,Watersports / Diving,Pattaya / Jomtien,https://pattaya-gym.com/gyms/no-limit-divers/,https://nolimitdive.com/,,,,,
Nong Nooch Tropical Garden — Thai Cultural & Muay Thai Show,Running / Cycling Clubs,Na Chom Thian / Sattahip — 20 km south of Pattaya,https://pattaya-gym.com/gyms/nongnooch-cultural-show/,https://www.nongnoochpattaya.com/,,,,,
Ocean Marina Jomtien — Southeast Asia's Largest Marina,Watersports / Diving,Na Jomtien / Sattahip,https://pattaya-gym.com/gyms/ocean-marina-jomtien/,https://www.oceanmarinajomtien.com/,+66 38 255 888,,,,
Pattana Golf Club & Resort (Pattana Sports Resort),Golf,"Si Racha (40 km north of Pattaya, 90 min from Bangkok)",https://pattaya-gym.com/gyms/pattana-sports-resort/,https://pattana.co.th/,,,,,
Pattaya Archery Club,Running / Cycling Clubs,Pattaya,https://pattaya-gym.com/gyms/pattaya-archery-club/,https://www.pattayaarcheryclub.com/,+66 90 986 7955,,,,
Pattaya Bike and Boat Tours,Adventure / Multi-Sport,Naklua / North Pattaya,https://pattaya-gym.com/gyms/pattaya-bike-boat-tours/,https://www.pattayabikeandboattours.com/,+66 81 000 2433,,,,
Pattaya Cricket Club,Running / Cycling Clubs,Pattaya — home ground varies,https://pattaya-gym.com/gyms/pattaya-cricket-club/,https://www.pattayacricketclub.com/,,,,,
Pattaya Dive Centre,Watersports / Diving,Pattaya Beach Road (between Soi 10 and Soi 11),https://pattaya-gym.com/gyms/pattaya-dive-centre/,https://www.divecentrepattaya.com/,,,,,
Pattaya Floating Market — Muay Talay & Cultural Activities,Running / Cycling Clubs,Sukhumvit Road / South Pattaya,https://pattaya-gym.com/gyms/pattaya-floating-market/,https://floatingmarketpattaya.com/,,,,,
Pattaya Hash House Harriers,Running / Cycling Clubs,Pattaya / East Pattaya / various run locations,https://pattaya-gym.com/gyms/pattaya-hash-house/,https://www.pattayah3.com/,,,,,
Pattaya Kart Speedway,Adventure / Multi-Sport,Thepprasit Road Soi 9,https://pattaya-gym.com/gyms/pattaya-kart-speedway/,https://pattayakart.com/en/home/,,,,,
Pattaya Marathon (Amazing Thailand Pattaya Marathon),Running / Cycling Clubs,Pattaya Beach (full marathon route along the bay),https://pattaya-gym.com/gyms/pattaya-marathon/,https://www.pattayamarathon.com/,,,,,
Pattaya Marriott Resort and Spa,Fitness / Gym,Na Jomtien,https://pattaya-gym.com/gyms/pattaya-marriott-resort/,https://www.marriott.com/en-us/hotels/utpjb-pattaya-marriott-resort-and-spa/overview/,,,,,
Pattaya Monkey Hash House Harriers,Running / Cycling Clubs,Various (run starting points across Pattaya region),https://pattaya-gym.com/gyms/pattaya-monkey-hash-house/,https://pattayamonkeyh3.com/,,,,,
Pattaya Padel Club (Mabprachan Lake),Tennis / Padel / Squash,Mabprachan Lake / East Pattaya,https://pattaya-gym.com/gyms/pattaya-padel-club/,https://pattayapadelclub.com/,,,,,
Pattaya Panthers Rugby Football Club,Running / Cycling Clubs,Pattaya,https://pattaya-gym.com/gyms/pattaya-panthers-rugby/,https://pattayapanthers.com/,,,,,
Pattaya Park Water & Fun Park (with Tower Jump),Adventure / Multi-Sport,South Pattaya / Jomtien border — Soi 12 Thappraya Rd,https://pattaya-gym.com/gyms/pattaya-park-water-fun/,https://www.pattayapark.com/,+66 38 251 201,,,,
Pattaya Scuba Adventures,Watersports / Diving,Pattaya / boat operations from Bali Hai Pier,https://pattaya-gym.com/gyms/pattaya-scuba-adventures/,https://www.pattaya-scuba-adventures.com/,,,,,
Pattaya Sky Ride — Helicopter Tours & Bangkok-Pattaya Charter,Adventure / Multi-Sport,Pattaya — landing pads at Royal Cliff Beach + various,https://pattaya-gym.com/gyms/pattaya-sky-ride-helicopter/,https://www.pattayaskyride.com/,,,,,
Pattaya Sports Club,Running / Cycling Clubs,Central Pattaya,https://pattaya-gym.com/gyms/pattaya-sports-club/,https://pattayasports.org/,+66 38 415 424,,,,
Pattaya Tennis & Badminton Inter Club,Tennis / Padel / Squash,"Soi Toongklom-Talman 25, Pattaya City",https://pattaya-gym.com/gyms/pattaya-tennis-badminton-inter-club/,https://liga.tennis/venue/pattaya-badminton-tennis-inter-club,,,,,
Pattaya Triathlon (Thailand Tri-League),Running / Cycling Clubs,Pattaya Beach + Sukhumvit Highway + Pattaya Hill,https://pattaya-gym.com/gyms/pattaya-triathlon/,https://www.pattayatriathlon.com/,,,,,
Petchrungruang Gym,Muay Thai,South Pattaya / Sukhumvit,https://pattaya-gym.com/gyms/petchrungruang-gym/,https://petchrungruang.com/,+66 86 147 3166 (Mr. Piyawath),,,,
Phoenix Gold Golf & Country Club,Golf,Huay Yai (south of Pattaya),https://pattaya-gym.com/gyms/phoenix-gold-golf/,https://www.phoenixgoldgolf.com/,+66 84 873 5363,,,,
Pickleball Pattaya,Tennis / Padel / Squash,Pratumnak Hill / Soi 6,https://pattaya-gym.com/gyms/pickleball-pattaya/,https://pickleballpattaya.com/,+66 92 265 9516,,,,
Planet Football Pattaya (FC Planet),Kids / Youth Sports,Pattaya,https://pattaya-gym.com/gyms/planet-football-pattaya/,https://www.pattayafootball.com/,,,,,
Play Padel Pattaya,Tennis / Padel / Squash,Pratumnak / Kasetsin Soi 3,https://pattaya-gym.com/gyms/play-padel-pattaya/,https://www.playpadelpattaya.com/,+66 80 621 0000,,,,
Rage Fight Academy,Muay Thai,Thappraya Road / South Pattaya (5 min from Dongtan & Jomtien beaches),https://pattaya-gym.com/gyms/rage-fight-academy/,https://ragefightacademy.com/,,,,,
Rajadamnern Stadium (Bangkok day-trip),Muay Thai,Bangkok — Ratchadamnoen Nok Avenue (1.5–2 hr from Pattaya),https://pattaya-gym.com/gyms/rajadamnern-stadium/,https://rajadamnern.com/,+66 2 281 4205,,,,
Ramayana Water Park Pattaya,Swimming,Na Jomtien / Sattahip — 20 km south of Pattaya,https://pattaya-gym.com/gyms/ramayana-water-park/,https://www.ramayanawaterpark.com/,,,,,
Real Divers Pattaya,Watersports / Diving,Pattaya — boat departures from Bali Hai Pier,https://pattaya-gym.com/gyms/real-divers-pattaya/,https://www.real-divers.com/,,,,,
Regents International School Pattaya (Sports),Kids / Youth Sports,Pattaya / Eastern Seaboard,https://pattaya-gym.com/gyms/regents-international-school-pattaya/,https://www.nordangliaeducation.com/risp-pattaya,,,,,
Renaissance Pattaya Resort & Spa,Fitness / Gym,Na Jomtien,https://pattaya-gym.com/gyms/renaissance-pattaya-resort/,https://www.marriott.com/en-us/hotels/pyxbr-renaissance-pattaya-resort-and-spa/overview/,+66 38 259 099,,,,
Royal Varuna Yacht Club,Watersports / Diving,Pratamnak Hill,https://pattaya-gym.com/gyms/royal-varuna-yacht-club/,https://www.varuna.org/,,,,,
Rusich Club Pattaya (HSIF Thailand),Kids / Youth Sports,Pattaya,https://pattaya-gym.com/gyms/rusich-club-football/,https://rusich.club/en/home_en/,,,,,
SailBreeze Sailing School @ Ocean Marina Yacht Club,Watersports / Diving,Na Jomtien — Ocean Marina Jomtien,https://pattaya-gym.com/gyms/sailbreeze-ocean-marina/,https://www.sailbreeze.org/,,,,,
Sanctuary of Truth — Wood Temple & Cultural-Sport Park,Running / Cycling Clubs,Naklua / North Pattaya,https://pattaya-gym.com/gyms/sanctuary-of-truth/,https://sanctuaryoftruthmuseum.com/,,,,,
Seafari PADI Dive Centre,Watersports / Diving,Behind Mike's Mall — 2 min from Pattaya Beach Road,https://pattaya-gym.com/gyms/seafari-padi-dive/,https://seafari.co.th/,,,,,
Siam Bayshore Resort Pattaya Tennis Courts,Tennis / Padel / Squash,Walking Street area / South Pattaya Beach Road,https://pattaya-gym.com/gyms/siam-bayshore-tennis/,https://siambayshorepattaya.com/sport-recreation/,,,,,
Siam Country Club Pattaya,Golf,"East Pattaya / Pong, Bang Lamung",https://pattaya-gym.com/gyms/siam-country-club/,https://siamcountryclub.com/,+66 38 909 700,,,,
Silk Muay Thai,Muay Thai,Pattaya,https://pattaya-gym.com/gyms/silk-muay-thai/,https://silkmuaythai.com/,,,,,
Sityodtong Pattaya,Muay Thai,Naklua / Nong Prue,https://pattaya-gym.com/gyms/sityodtong-pattaya/,https://sityodtongthailand.com/,+66 38 251 489,,,,
Thai Polo & Equestrian Club,Equestrian,Banglamung / Mabprachan Lake (25 min north of Pattaya),https://pattaya-gym.com/gyms/thai-polo-equestrian-club/,https://www.thai-polo-club.com/,,,,,
Thai Sky Adventures (Tandem Skydiving Pattaya),Adventure / Multi-Sport,Dropzone 25 km north of Pattaya / Rayong direction,https://pattaya-gym.com/gyms/thai-sky-adventures-skydive/,https://thaiskyadventures.com/,,,,,
Thai Wake Park Pattaya,Watersports / Diving,East Pattaya near Mabprachan Lake,https://pattaya-gym.com/gyms/thai-wake-park/,https://www.thaiwakepark.com/,,,,,
Underwater World Pattaya — Aquarium & Shark Dive Experience,Watersports / Diving,Pattaya — Sukhumvit Road,https://pattaya-gym.com/gyms/underwater-world-pattaya/,https://underwaterworldpattaya.com/,,,,,
Venum Training Camp Pattaya,Muay Thai,Soi Khopai / off Thepprasit Road (1.8 km from Jomtien Beach),https://pattaya-gym.com/gyms/venum-training-camp/,https://venom-mt.com/,,,,,
Wave Pattaya Watersports,Watersports / Diving,Pattaya Beach / Jomtien Beach,https://pattaya-gym.com/gyms/wave-pattaya/,https://www.wavepattaya.com/,,,,,
WKO Muay Thai & Fitness Pattaya (ISS Gym),Muay Thai,Central Pattaya / Pattaya Klang,https://pattaya-gym.com/gyms/wko-muay-thai/,https://world-kumite.org/,+66 87 137 0841,,,,
Yoga Pattaya Studio,Yoga / Pilates,Thepprasit / Jomtien,https://pattaya-gym.com/gyms/yoga-pattaya-studio/,https://yogapattaya.com/,+66 95 573 9376,,,,
